SKU,PRODUCTNAME,CATEGORY,COSTPRICE,SELLINGPRICE,STOCKONHAND,REORDERLEVEL,
A1,ก้นกรองมวนร้อน Rollo-แดง 250 มวน,หลอดกรอง,80,110,100,15,
A2,ก้นกรองมวนร้อน Invictus-แดง  250 มวน,หลอดกรอง,80,110,100,15,
A3,ก้นกรองมวนร้อน Firebox-แดง  300 มวน,หลอดกรอง,80,110,100,15,
A4,ก้นกรองมวนร้อน Cartel-แดง  300 มวน,หลอดกรอง,80,110,100,15,
A5,ก้นกรองมวนร้อน Invictus-แดง  500 มวน,หลอดกรอง,100,150,100,15,
A5s,ก้นกรองมวนร้อน DUBERMAN-แดง  500 มวน,หลอดกรอง,100,150,100,5,
A6,"ก้นกรองมวนร้อน Firebox-แดง 1,000 มวน",หลอดกรอง,200,320,100,5,
A7,"ก้นกรองมวนร้อน Invictus-แดง 1,000 มวน",หลอดกรอง,200,270,100,5,
B1,ก้นกรองมวนเย็น Invictus-เขียว 200 มวน,หลอดกรอง,80,120,100,15,
B2,ก้นกรองมวนเย็น Invictus-เย็นสุดขั้ว 200 มวน,หลอดกรอง,80,120,100,15,
B2s,ก้นกรองมวนเย็น DUBERMAN-เย็นสุดขั้ว 200 มวน,หลอดกรอง,100,120,100,5,
B3,ก้นกรองมวนเย็น Rollo-เขียว 200 มวน,หลอดกรอง,80,120,100,15,
B4,ก้นกรองมวนเย็น Firebox-เขียว 250 มวน,หลอดกรอง,80,120,100,15,
C1,ก้นกรองมวนเม็ดบีบ FREsH BoMB-กลิ่น เบอร์รีมิ้นท์ 100 มวน,หลอดกรอง,80,120,100,15,
C2,ก้นกรองมวนเม็ดบีบ FREsH BoMB-กลิ่น สตรอว์เบอร์รี  1 กล่อง 100 มวน,หลอดกรอง,80,110,100,15,
C3,ก้นกรองมวนเม็ดบีบ FREsH BoMB-กลิ่น เมนทอล 100 มวน,หลอดกรอง,80,110,100,15,
C4,ก้นกรองมวนเม็ดบีบ FREsH BoMB-กลิ่น สตรองมิ้นท์ 100 มวน,หลอดกรอง,80,110,100,15,
C5,ก้นกรองมวนเม็ดบีบ Permium SEDCUE-กลิ่น สตรอว์เบอร์รี 100 มวน,หลอดกรอง,80,110,100,15,
C6,ก้นกรองมวนเม็ดบีบ Permium SEDCUE-กลิ่น บลูเบอร์รี 100 มวน,หลอดกรอง,80,110,100,15,
D1,ก้นกรองมวนร้อน Firebox-กลิ่น เบอรี่มิ้นท์ 250 มวน,หลอดกรอง,135,135,100,15,
D2,ก้นกรองมวนร้อน Permium SEDCUE-VIP BLACK 300 มวน,หลอดกรอง,120,160,100,15,
BX,กล่องเก็บมวน Firebox-Premium GOLD ,อุปกร์เสริม,55,99,100,15,
FB,เครื่องอัดมวนไฟฟ้า Firebox-ไฟฟ้าอัตโนมัติ FB-PRO ปี2023 1 เครื่อง,เครื่องอัด,280,390,100,15,
FD1,เครื่องอัดมวน แบบพกพา Firebox-แบบพกพา FD1 1 อัน,เครื่องอัด,90,180,100,15,
FD2,เครื่องอัดมวน แบบพกพา FD2-แบบพกพา FD2 1 อัน,เครื่องอัด,50,140,100,15,
V1,ยาเส้น LM ( แอลเอ็ม ) เกรดโรงงาน รุ่น V1-L,ยาเส้น,35,70,100,40,
V2,ยาเส้นกรองทิพย์ เกรดโรงงาน รุ่น V2-K,ยาเส้น,35,70,100,40,
V3,ยาเส้น WONDER( วันเดอร์ ) เกรดโรงงาน รุ่น V3-W,ยาเส้น,35,70,100,40,
Y1,ยาเส้น SK ( เอสเค ) เกรดA รุ่น Y1-SK,ยาเส้น,35,70,100,40,
Y2,ยาเส้นมาโบโร่ เกรดA รุ่น Y2-MBR,ยาเส้น,35,70,100,40,
Y3,ยาเส้น LM ( แอลเอ็ม ) เกรดA รุ่น Y3-LM,ยาเส้น,35,70,100,40,
Y4,ยาเส้นกรองทิพย์ เกรดA รุ่น Y4-KT,ยาเส้น,35,70,100,40,
Y5,ยาเส้น LM ( แอลเอ็ม ) เกรดพื้นบ้านไทย รุ่น Y5-L&M,ยาเส้น,24,60,100,40,
Y6,ยาเส้นกรองทิพย์ เกรดพื้นบ้านไทย รุ่น Y6-K&T,ยาเส้น,24,60,100,40,
Y7,ยาเส้น 85 กรองทิพย์ เกรดพื้นบ้านไทย รุ่น Y7-85,ยาเส้น,24,60,100,40,
Y8,ยาเส้นกรุงทอง เกรดพื้นบ้านไทย รุ่น Y8-KRUNG THONG,ยาเส้น,24,60,100,40,
